feature,mean_absolute_calibrated_log_odds_shap
grid_position,1.1224385753268098
driver_recent_podium,0.375881058056635
constructor_recent_podium,0.2835444374691047
driver_recent_finish,0.2779791066423828
driver_career_podium,0.09398439660040725
driver_circuit_podium,0.04939382663403041
driver_recent_dnf,0.026131275002591402
