experiment_id,model,feature_set,train_start,rows,races,positive_rate,precision,recall,f1,roc_auc,log_loss,brier_score,top3_hit_rate,exact_podium_set_rate,ece_10_bins
EXP-001,StandardScaler + LogisticRegression,grid,2010,1200,60,0.15,0.7583333333333333,0.5055555555555555,0.6066666666666667,0.9171541394335512,0.2462242197042462,0.0694878057810877,0.7166666666666667,0.3333333333333333,0.03483512800352335
EXP-002,logistic,driver,2010,1200,60,0.15,0.7048192771084337,0.65,0.6763005780346821,0.9257380174291939,0.22757374716772788,0.0660907934452437,0.6833333333333333,0.3,0.010383725156671873
EXP-003,logistic,team,2010,1200,60,0.15,0.7083333333333334,0.6611111111111111,0.6839080459770115,0.926693899782135,0.22637269763926535,0.06586738216418223,0.7,0.35,0.013991252552670213
EXP-004,logistic,full,2010,1200,60,0.15,0.7023809523809523,0.6555555555555556,0.6781609195402298,0.9279139433551198,0.22389175630364225,0.06539945999378813,0.6777777777777778,0.31666666666666665,0.013891917174589421
EXP-005,logistic,career,2010,1200,60,0.15,0.73125,0.65,0.6882352941176471,0.9245751633986927,0.22871867374221816,0.06487222381069153,0.7,0.31666666666666665,0.017850100310020305
EXP-006,forest,full,2010,1200,60,0.15,0.7597402597402597,0.65,0.7005988023952096,0.9352423747276688,0.2146124002093895,0.06284539248309144,0.7222222222222222,0.38333333333333336,0.01789955057900412
EXP-007,boosting,full,2010,1200,60,0.15,0.754601226993865,0.6833333333333333,0.717201166180758,0.9395261437908498,0.20982020295680906,0.06244382242533594,0.7277777777777777,0.38333333333333336,0.013432270907483692
EXP-008,logistic,full,2014,1200,60,0.15,0.7168674698795181,0.6611111111111111,0.6878612716763006,0.9281590413943355,0.22478771444445797,0.06571190599935914,0.6777777777777778,0.31666666666666665,0.0153136656251442
EXP-009,boosting,full,2014,1200,60,0.15,0.75,0.6666666666666666,0.7058823529411765,0.9399155773420479,0.2117395865775808,0.06289804103988289,0.7,0.35,0.011862883625661255
